Date of Interview,Client name,Industry,Location,position,skillset,Interview Type,Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,necessary_permission,unscheduled_meetings,followup_3hours_call,alternative_number,resume_printout_JD,venue_details,shared_call_letter,Expected Attendance,Observed Attendance,Marital Status
19.06.2015,UST,IT Services,Bangalore,Niche,Routine,Scheduled Walk-In,Male,Bangalore,Bangalore,Bangalore,Bangalore,No,Yes,Yes,Yes,Yes,Yes,No/Need to Check,No,No,Married
19.06.2015,UST,IT Services,Bangalore,Niche,Routine,Scheduled Walk-In,Male,Bangalore,Bangalore,Bangalore,Bangalore,No,Yes,Yes,Yes,No,Yes,No/Need to Check,No,No,Single
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Coimbatore,Yes,Yes,Yes,No,Yes,Yes,No/Need to Check,No,No,Single
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Trichy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Married
23.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Salem,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Tanjore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Trichy,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Coimbatore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Routine,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,No,No/Need to Check,No,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Trichy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,No/Need to Check,No,No,Married
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Single
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,Yes,Yes,No,No/Need to Check,No,No,Married
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25-05-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Trivandrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Trivandrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
25-05-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,No,No,No,No,No,Yes,Yes,No,No,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Female,Chennai,Chennai,Chennai,Chennai,No,Yes,No,No,,,No/Need to Check,No,Yes,Single
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,Yes,No,No,No/Need to Check,No,No,Single
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk-In,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
